address,latitude,longitude,formatted_address
"Нижняя Тура, готов к переезду, готов к командировкам",58.631072,59.851325,"Россия, Свердловская область, Нижняя Тура"
"Лыткарино (Московская область), не готов к переезду, готов к командировкам",55.579302,37.908986,"Россия, Московская область, Лыткарино"
"Волгодонск, готов к переезду, готов к редким командировкам",47.519624,42.206329,"Россия, Ростовская область, Волгодонск"
"Москва, м. Медведково, не готов к переезду, готов к редким командировкам",55.887473,37.661536,"Россия, Москва, Калужско-Рижская линия, метро Медведково"
"Амзя (Нефтекамск, Башкортостан), не готов к переезду, готов к командировкам",56.233229,54.387367,"Россия, Республика Башкортостан, городской округ Нефтекамск, село Амзя"
"Октябрьский (Пермский край), готов к переезду, готов к командировкам",54.481454,53.46557,"Россия, Республика Башкортостан, Октябрьский"
"Бугульма, готов к переезду, готов к командировкам",54.541877,52.798634,"Россия, Республика Татарстан (Татарстан), Бугульма"
"Актобе, готов к переезду (Актау, Атырау, Беларусь, Грузия, Кыргызстан, Россия, Уральск), готов к редким командировкам",50.300377,57.154555,"Казахстан, Актобе"
"Мончегорск, готов к переезду, готов к командировкам",67.938921,32.937071,"Россия, Мурманская область, Мончегорск"
"Салават, не готов к переезду, готов к командировкам",53.361651,55.924681,"Россия, Республика Башкортостан, Салават"
"Керчь, готов к переезду (Москва, Россия), готов к командировкам",45.356219,36.467378,"Россия, Республика Крым, Керчь"
"Находка, не готов к переезду, не готов к командировкам",42.824043,132.89282,"Россия, Приморский край, Находка"
"Москва, м. Митино, не готов к переезду, не готов к командировкам",55.845734,37.362163,"Россия, Москва, Арбатско-Покровская линия, метро Митино"
"Сергиев Посад (Московская область), готов к переезду (Москва), готов к редким командировкам",56.315311,38.135972,"Россия, Московская область, Сергиев Посад"
"Адлер, не готов к переезду, готов к редким командировкам",32.762798,-87.16859,"Соединённые Штаты Америки, штат Алабама, Перри-Каунти, Адлер"
"Гатчина, не готов к переезду, готов к командировкам",59.56841,30.122892,"Россия, Ленинградская область, Гатчина"
"Армавир, готов к переезду (Краснодар, Москва, Новороссийск, Санкт-Петербург), готов к командировкам",40.155416,44.038739,"Армения, Армавир"
"Рыбинск, не готов к переезду, готов к командировкам",58.04864,38.855711,"Россия, Ярославская область, Рыбинск"
"Истра (Московская область), готов к переезду, готов к командировкам",55.91466,36.859017,"Россия, Московская область, Истра"
"Саранск, готов к переезду (Москва), готов к редким командировкам",54.187433,45.183938,"Россия, Республика Мордовия, Саранск"
"Новосибирск, м. Березовая роща, готов к переезду (Анапа, Краснодар, Сочи), готов к редким командировкам",55.044887,82.958132,"Россия, Новосибирск, микрорайон Берёзовая Роща"
"Йошкар-Ола, не готов к переезду, не готов к командировкам",56.6316,47.886178,"Россия, Республика Марий Эл, Йошкар-Ола"
"Подольск (Московская область), не готов к переезду, готов к командировкам",55.431136,37.544997,"Россия, Московская область, Подольск"
"Сланцы, не готов к переезду, готов к редким командировкам",59.11779,28.088145,"Россия, Ленинградская область, Сланцы"
"Кстово, готов к переезду (Нижний Новгород), готов к редким командировкам",56.150665,44.206805,"Россия, городской округ Нижний Новгород, Кстово"
"Энгельс, не готов к переезду, готов к командировкам",51.50105,46.124052,"Россия, Саратовская область, Энгельс"
"Ковров, готов к переезду, готов к командировкам",56.362506,41.310933,"Россия, Владимирская область, Ковров"
"Тараз, готов к переезду (Казахстан, Россия), готов к командировкам",42.899664,71.392727,"Казахстан, Жамбылская область, Тараз"
"Томск, готов к переезду, не готов к командировкам",56.484645,84.947649,"Россия, Томск"
"Ставрополь, готов к переезду (Воронеж, Ставропольский край, Старый Оскол), готов к командировкам",45.043317,41.96911,"Россия, Ставрополь"
"Краснодар, готов к переезду (Россия), готов к командировкам",45.03547,38.975313,"Россия, Краснодар"
"Йошкар-Ола, готов к переезду, не готов к командировкам",56.6316,47.886178,"Россия, Республика Марий Эл, Йошкар-Ола"
"Усолье-Сибирское, хочу переехать (Новороссийск), готов к командировкам",52.757095,103.637332,"Россия, Иркутская область, Усолье-Сибирское"
"Серпухов (Московская область), готов к переезду, готов к командировкам",54.913681,37.416601,"Россия, Московская область, Серпухов"
"Чита, не готов к переезду, готов к редким командировкам",52.033635,113.501049,"Россия, Забайкальский край, Чита"
"Новосибирск, м. Речной вокзал, готов к переезду, готов к командировкам",55.008573,82.937821,"Россия, Новосибирск, Ленинская линия, метро Речной вокзал"
"Санкт-Петербург, м. Дунайская, не готов к переезду, готов к редким командировкам",59.839863,30.410874,"Россия, Санкт-Петербург, 5 линия – Фрунзенско-Приморская, метро Дунайская"
"Атырау, готов к переезду (Казахстан, Россия), готов к командировкам",47.106799,51.916874,"Казахстан, Атырау"
"Братск, готов к переезду, готов к командировкам",56.151682,101.633505,"Россия, Иркутская область, Братск"
"Киров (Кировская область), готов к переезду, готов к командировкам",58.603595,49.668023,"Россия, Киров"
"Сызрань, готов к переезду (Россия), готов к командировкам",53.155669,48.474611,"Россия, Самарская область, Сызрань"
"Туапсе, не готов к переезду, готов к редким командировкам",44.095245,39.073382,"Россия, Краснодарский край, Туапсе"
"Красноярск, готов к переезду, готов к редким командировкам",56.010543,92.852581,"Россия, Красноярск"
"Москва, готов к переезду (Бельгия, Болгария, Великобритания, Испания, Катар, Королевство Саудовская Аравия, Кувейт, Нидерланды, Норвегия, ОАЭ, Португалия, США, Санкт-Петербург, Сочи, Финляндия, Франция, Швеция, Южная Корея), не готов к командировкам",,,"Москва, готов к переезду (Бельгия, Болгария, Великобритания, Испания, Катар, Королевство Саудовская Аравия, Кувейт, Нидерланды, Норвегия, ОАЭ, Португалия, США, Санкт-Петербург, Сочи, Финляндия, Франция, Швеция, Южная Корея), не готов к командировкам"
"Архангельск, не готов к переезду, готов к командировкам",64.539911,40.515762,"Россия, Архангельск"
"Новочеркасск, не готов к переезду, не готов к командировкам",47.422052,40.093734,"Россия, Ростовская область, Новочеркасск"
"Новосибирск, м. Октябрьская, не готов к переезду, готов к командировкам",55.01914,82.939303,"Россия, Новосибирск, Ленинская линия, метро Октябрьская"
"Голицыно (Московская область), готов к переезду (Звенигород (Московская область), Одинцово (Московская область)), готов к командировкам",55.615949,36.987126,"Россия, Московская область, Одинцовский городской округ, Голицыно"
"Балашиха (Московская область), готов к переезду (Москва), готов к командировкам",55.797007,37.938118,"Россия, Московская область, Балашиха"
"Темрюк, не готов к переезду, не готов к командировкам",45.282044,37.365388,"Россия, Краснодарский край, Темрюк"
"Губкин, не готов к переезду, готов к редким командировкам",51.283644,37.534757,"Россия, Белгородская область, Губкин"
"Балаково, готов к переезду (Вольск), готов к командировкам",52.01843,47.819676,"Россия, Саратовская область, Балаково"
"Нововоронеж, не готов к переезду, готов к редким командировкам",51.3091,39.215981,"Россия, Воронежская область, Нововоронеж"
"Березники, готов к переезду, готов к командировкам",59.407024,56.806719,"Россия, Пермский край, Березники"
"Екатеринбург, м. Чкаловская, готов к переезду, готов к редким командировкам",56.807841,60.610464,"Россия, Свердловская область, Екатеринбург, Первая линия, метро Чкаловская"
"Краснодар, готов к переезду, не готов к командировкам",45.03547,38.975313,"Россия, Краснодар"
"Одинцово (Московская область), готов к переезду (Москва), готов к командировкам",55.679138,37.263663,"Россия, Московская область, Одинцово"
"Шахты, не готов к переезду, не готов к командировкам",47.709237,40.215401,"Россия, Ростовская область, Шахты"
"Москва, м. Бунинская аллея, не готов к переезду, не готов к командировкам",55.537969,37.515928,"Россия, Москва, Бутовская линия, метро Бунинская аллея"
"Москва, м. Кантемировская, не готов к переезду, готов к редким командировкам",55.636107,37.656218,"Россия, Москва, Замоскворецкая линия, метро Кантемировская"
"Жуковский (Московская область), не готов к переезду, готов к редким командировкам",55.59748,38.119811,"Россия, Московская область, Жуковский"
"Темрюк, готов к переезду, готов к командировкам",45.282044,37.365388,"Россия, Краснодарский край, Темрюк"
"Усть-Кут, готов к переезду, готов к командировкам",56.780882,105.74539,"Россия, Иркутская область, Усть-Кут"
"Москва, м. Говорово, готов к переезду, готов к командировкам",55.659551,37.417266,"Россия, Москва, Солнцевская линия, метро Говорово"
"Москва, м. Домодедовская, готов к переезду, готов к редким командировкам",55.610845,37.718669,"Россия, Москва, Замоскворецкая линия, метро Домодедовская"
"Рудный, готов к переезду (Другие регионы, Россия), готов к командировкам",52.964454,63.133419,"Казахстан, Костанайская область, Рудный"
"Москва, м. Перово, не готов к переезду, не готов к командировкам",55.75132,37.786887,"Россия, Москва, Калининская линия, метро Перово"
"Волгодонск, не готов к переезду, не готов к командировкам",47.519624,42.206329,"Россия, Ростовская область, Волгодонск"
"Волгоград, готов к переезду (Россия), готов к редким командировкам",48.707067,44.516975,"Россия, Волгоград"
"Москва, м. Перово, не готов к переезду, готов к командировкам",55.75132,37.786887,"Россия, Москва, Калининская линия, метро Перово"
"Нефтекамск, готов к переезду, готов к командировкам",56.088483,54.247751,"Россия, Республика Башкортостан, Нефтекамск"
"Москва, м. Окружная, готов к переезду (Московская область), готов к редким командировкам",55.845542,37.574229,"Россия, Москва, Люблинско-Дмитровская линия, метро Окружная"
"Нижний Новгород, м. Парк Культуры, не готов к переезду, не готов к командировкам",56.242039,43.858169,"Россия, Нижний Новгород, Автозаводская линия, метро Парк культуры"
"Большой Камень, не готов к переезду, готов к редким командировкам",43.111725,132.350345,"Россия, Приморский край, Большой Камень"
"Химки (Московская область), готов к переезду, готов к редким командировкам",55.889361,37.444853,"Россия, Московская область, Химки"
"Краснодар, готов к переезду (Другие регионы), готов к командировкам",45.03547,38.975313,"Россия, Краснодар"
"Тобольск, не готов к переезду, готов к командировкам",58.200891,68.253995,"Россия, Тюменская область, Тобольск"
"Мурманск, не готов к переезду, готов к командировкам",68.970663,33.074918,"Россия, Мурманск"
"Костомукша, не готов к переезду, готов к командировкам",64.587358,30.596637,"Россия, Республика Карелия, Костомукша"
"Орел, готов к переезду (Москва), готов к командировкам",52.970756,36.064358,"Россия, Орёл"
"Санкт-Петербург, м. Пионерская, готов к переезду (Другие регионы, Ленинградская область, Санкт-Петербург), готов к командировкам",60.002886,30.296734,"Россия, Санкт-Петербург, 2 линия – Московско-Петроградская, метро Пионерская"
"Придорожный (Самарская область), не готов к переезду, готов к редким командировкам",53.113071,50.146385,"Россия, Самарская область, Волжский район, сельское поселение Лопатино, посёлок Придорожный"
"Санкт-Петербург, готов к переезду (Краснодар, Нижний Новгород, Новороссийск, Сочи, Финляндия), готов к командировкам",59.938676,30.314494,"Россия, Санкт-Петербург"
"Саранск, не готов к переезду, готов к редким командировкам",54.187433,45.183938,"Россия, Республика Мордовия, Саранск"
"Находка, не готов к переезду, готов к командировкам",42.824043,132.89282,"Россия, Приморский край, Находка"
"Москва, м. Сходненская, не готов к переезду, не готов к командировкам",55.85052,37.439535,"Россия, Москва, Таганско-Краснопресненская линия, метро Сходненская"
"Санкт-Петербург, м. Площадь Восстания, не готов к переезду, не готов к командировкам",59.931522,30.360568,"Россия, Санкт-Петербург, 1 линия – Кировско-Выборгская, метро Площадь Восстания"
"Павлодар, готов к переезду (Алматы, Астана, Екатеринбург, Казань, Краснодар, Минск, Москва, Россия, Санкт-Петербург, Сочи), готов к командировкам",52.285577,76.940722,"Казахстан, Павлодар"
"Сыктывкар, готов к переезду, готов к редким командировкам",61.668797,50.836497,"Россия, Республика Коми, Сыктывкар"
"Нижний Новгород, м. Бурнаковская, не готов к переезду, готов к редким командировкам",56.325779,43.911987,"Россия, Нижний Новгород, Сормовско-Мещерская линия, метро Бурнаковская"
"Афипский, не готов к переезду, не готов к командировкам",44.903348,38.841132,"Россия, Краснодарский край, Северский район, Афипское городское поселение, посёлок городского типа Афипский"
"Москва, м. Пражская, не готов к переезду, готов к редким командировкам",55.612339,37.604421,"Россия, Москва, Серпуховско-Тимирязевская линия, метро Пражская"
"Тюмень, готов к переезду, готов к редким командировкам",57.152985,65.541227,"Россия, Тюмень"
"Волгоград, готов к переезду (Краснодар, Москва, Ростов-на-Дону, Сочи), готов к командировкам",48.707067,44.516975,"Россия, Волгоград"
"Санкт-Петербург, м. Балтийская, готов к переезду, готов к командировкам",59.907352,30.300489,"Россия, Санкт-Петербург, 1 линия – Кировско-Выборгская, метро Балтийская"
"Белоозёрский (Московская область), не готов к переезду, готов к редким командировкам",55.459619,38.43892,"Россия, Московская область, городской округ Воскресенск, Белоозёрский"
"Казань, м. Козья слобода, не готов к переезду, готов к командировкам",55.816632,49.098338,"Россия, Республика Татарстан (Татарстан), Казань, Центральная линия, метро Козья слобода"
"Приволжский (Республика Марий Эл), готов к переезду, готов к командировкам",51.412457,46.046411,"Россия, Саратовская область, муниципальное образование Энгельс, рабочий посёлок Приволжский"
"Москва, м. Водный стадион, готов к переезду, готов к командировкам",55.839891,37.486796,"Россия, Москва, Замоскворецкая линия, метро Водный стадион"
"Березники, хочу переехать, не готов к командировкам",59.407024,56.806719,"Россия, Пермский край, Березники"
"Москва, м. Котельники, не готов к переезду, готов к редким командировкам",55.674138,37.858644,"Россия, Москва, Таганско-Краснопресненская линия, метро Котельники"
"Чистополь, хочу переехать, готов к командировкам",55.372339,50.643575,"Россия, Республика Татарстан (Татарстан), Чистополь"
"Чистополь, не готов к переезду, не готов к командировкам",55.372339,50.643575,"Россия, Республика Татарстан (Татарстан), Чистополь"
"Бодайбо, готов к переезду, готов к командировкам",57.847975,114.199867,"Россия, Иркутская область, Бодайбо"
"Киров (Кировская область), не готов к переезду, готов к редким командировкам",58.603595,49.668023,"Россия, Киров"
"Котлас, готов к переезду, готов к командировкам",61.252975,46.633226,"Россия, Архангельская область, Котлас"
"Королев (Московская область), не готов к переезду, готов к редким командировкам",55.918953,37.815211,"Россия, Московская область, Королёв"
"Санкт-Петербург, м. Проспект Просвещения, готов к переезду, готов к командировкам",60.051176,30.332676,"Россия, Санкт-Петербург, 2 линия – Московско-Петроградская, метро Проспект Просвещения"
"Борисовка, готов к переезду, готов к командировкам",44.755175,37.694244,"Россия, Краснодарский край, городской округ Новороссийск, село Борисовка"
"Курск, не готов к переезду, готов к командировкам",51.730846,36.193015,"Россия, Курск"
"Сергиев Посад (Московская область), готов к переезду (Сергиев Посад (Московская область)), готов к командировкам",56.315311,38.135972,"Россия, Московская область, Сергиев Посад"
"Кандалакша, готов к переезду, готов к редким командировкам",67.151256,32.412832,"Россия, Мурманская область, Кандалакша"
"Зубцов, не готов к переезду, готов к командировкам",56.170536,34.582902,"Россия, Тверская область, Зубцов"
"Ангарск, готов к переезду, готов к командировкам",52.544358,103.888249,"Россия, Иркутская область, Ангарск"
"Тула, готов к переезду (Тула), не готов к командировкам",54.193122,37.617348,"Россия, Тула"
"Енотаевка, не готов к переезду, готов к редким командировкам",47.244405,47.035447,"Россия, Астраханская область, село Енотаевка"
"Великие Луки, не готов к переезду, готов к командировкам",56.343703,30.515671,"Россия, Псковская область, Великие Луки"
"Пушкино (Московская область), не готов к переезду, готов к командировкам",56.011318,37.847164,"Россия, Московская область, Пушкино"
"Орел, не готов к переезду, не готов к командировкам",52.970756,36.064358,"Россия, Орёл"
"Камышин, не готов к переезду, готов к командировкам",50.085287,45.402166,"Россия, Волгоградская область, Камышин"
"Москва, м. Тульская, готов к переезду (Россия), готов к командировкам",55.706467,37.61759,"Россия, Москва, Малая Тульская улица"
"Мценск, готов к переезду, готов к командировкам",53.278939,36.575006,"Россия, Орловская область, Мценск"
"Балабаново, не готов к переезду, готов к редким командировкам",55.180953,36.655549,"Россия, Калужская область, Боровский район, Балабаново"
"Сызрань, не готов к переезду, готов к командировкам",53.155669,48.474611,"Россия, Самарская область, Сызрань"
"Сокол, готов к переезду (Вологда), готов к командировкам",59.46282,40.114808,"Россия, Вологодская область, Сокол"
"Самара, готов к переезду, готов к редким командировкам",53.195878,50.100202,"Россия, Самара"
"Чайковский, не готов к переезду, готов к командировкам",56.778081,54.14881,"Россия, Пермский край, Чайковский"
"Калач, готов к переезду, готов к редким командировкам",50.424136,41.016231,"Россия, Воронежская область, Калач"
"Барнаул, не готов к переезду, готов к командировкам",53.346785,83.776856,"Россия, Алтайский край, Барнаул"
"Коломна (Московская область), не готов к переезду, готов к командировкам",55.095276,38.765574,"Россия, Московская область, Коломна"
"Люберцы (Московская область), готов к переезду, готов к редким командировкам",55.676748,37.893328,"Россия, Московская область, Люберцы"
"Москва, м. Свиблово, готов к переезду, готов к командировкам",55.855179,37.652625,"Россия, Москва, Калужско-Рижская линия, метро Свиблово"
"Санкт-Петербург, м. Приморская, не готов к переезду, готов к редким командировкам",59.94846,30.234607,"Россия, Санкт-Петербург, 3 линия – Невско-Василеостровская, метро Приморская"
"Чита, готов к переезду, готов к редким командировкам",52.033635,113.501049,"Россия, Забайкальский край, Чита"
"Владикавказ, готов к переезду, готов к редким командировкам",43.024616,44.681771,"Россия, Республика Северная Осетия — Алания, Владикавказ"
"Нефтекамск, не готов к переезду, готов к редким командировкам",56.088483,54.247751,"Россия, Республика Башкортостан, Нефтекамск"
"Москва, готов к переезду (Казань, Краснодар, Санкт-Петербург), готов к командировкам",55.755819,37.617644,"Россия, Москва"
"Мошково, готов к переезду, готов к командировкам",55.302571,83.610839,"Россия, Новосибирская область, рабочий посёлок Мошково"
"Краснознаменск (Московская область), не готов к переезду, готов к командировкам",55.600506,37.042489,"Россия, Московская область, Краснознаменск"
"Ессентуки, готов к переезду, готов к командировкам",44.044526,42.85891,"Россия, Ставропольский край, Ессентуки"
"Городец, готов к переезду, не готов к командировкам",56.644822,43.47236,"Россия, Нижегородская область, Городец"
"Ярославль, готов к переезду (Москва, Санкт-Петербург), готов к редким командировкам",57.626559,39.893813,"Россия, Ярославль"
"Барнаул, готов к переезду (Санкт-Петербург), готов к редким командировкам",53.346785,83.776856,"Россия, Алтайский край, Барнаул"
"Отрадный (Самарская область), готов к переезду, готов к редким командировкам",53.376549,51.348789,"Россия, Самарская область, Отрадный"
"Астрахань, готов к переезду (Россия), не готов к командировкам",46.347614,48.030178,"Россия, Астрахань"
"Москва, м. Ольховая, не готов к переезду, готов к командировкам",55.56898,37.459056,"Россия, Москва, Сокольническая линия, метро Ольховая"
"Санкт-Петербург, м. Озерки, не готов к переезду, готов к редким командировкам",60.036542,30.321366,"Россия, Санкт-Петербург, 2 линия – Московско-Петроградская, метро Озерки"
"Сыктывкар, готов к переезду, готов к командировкам",61.668797,50.836497,"Россия, Республика Коми, Сыктывкар"
"Москва, м. Тушинская, не готов к переезду, готов к командировкам",55.826554,37.436993,"Россия, Москва, Таганско-Краснопресненская линия, метро Тушинская"
"Новосибирск, готов к переезду (Иркутск, Новосибирск), готов к командировкам",55.030204,82.92043,"Россия, Новосибирск"
"Новокузнецк, не готов к переезду, готов к редким командировкам",53.757553,87.136053,"Россия, Кемеровская область — Кузбасс, Новокузнецк"
"Челябинск, готов к переезду (Москва), готов к командировкам",55.159902,61.402554,"Россия, Челябинск"
"Москва, м. Красногвардейская, не готов к переезду, готов к командировкам",55.613692,37.744046,"Россия, Москва, Замоскворецкая линия, метро Красногвардейская"
"Екатеринбург, м. Геологическая, не готов к переезду, не готов к командировкам",56.827532,60.602487,"Россия, Свердловская область, Екатеринбург, Первая линия, метро Геологическая"
"Елабуга, не готов к переезду, не готов к командировкам",55.757496,52.053939,"Россия, Республика Татарстан (Татарстан), Елабуга"
"Кырен, не готов к переезду, готов к командировкам",51.682491,102.13057,"Россия, Республика Бурятия, Тункинский район, село Кырен"
"Ульяновск, не готова к переезду, готова к редким командировкам",54.314192,48.403132,"Россия, Ульяновск"
"Москва, м. Братиславская, не готов к переезду, не готов к командировкам",55.659647,37.750739,"Россия, Москва, Люблинско-Дмитровская линия, метро Братиславская"
"Новохопёрск, не готов к переезду, готов к редким командировкам",51.100286,41.631461,"Россия, Воронежская область, Новохопёрск"
"Шиханы, готов к переезду, готов к командировкам",52.11478,47.202327,"Россия, Саратовская область, Шиханы"
"Обнинск, не готов к переезду, готов к командировкам",55.117082,36.597014,"Россия, Калужская область, Обнинск"
"Анапа, готов к переезду, готов к командировкам",44.894269,37.316906,"Россия, Краснодарский край, Анапа"
"Шахунья, не готов к переезду, готов к командировкам",57.676341,46.612933,"Россия, Нижегородская область, Шахунья"
"Люберцы (Московская область), не готов к переезду, готов к редким командировкам",55.676748,37.893328,"Россия, Московская область, Люберцы"
"Санкт-Петербург, м. Чёрная речка, не готов к переезду, готов к редким командировкам",59.985521,30.30083,"Россия, Санкт-Петербург, 2 линия – Московско-Петроградская, метро Чёрная речка"
"Кинешма, не готов к переезду, готов к редким командировкам",57.443126,42.169525,"Россия, Ивановская область, Кинешма"
"Череповец, готов к переезду (Адлер, Санкт-Петербург), готов к командировкам",59.122672,37.903443,"Россия, Вологодская область, Череповец"
"Брянск, не готов к переезду, готов к командировкам",53.2434,34.363991,"Россия, Брянск"
"Шерловая Гора, готов к переезду, готов к командировкам",50.527762,116.315192,"Россия, Забайкальский край, Борзинский район, посёлок городского типа Шерловая Гора"
"Кукмор, готов к переезду, готов к командировкам",56.186599,50.89399,"Россия, Республика Татарстан (Татарстан), Кукмор"
"Брянск, готов к переезду, готов к командировкам",53.2434,34.363991,"Россия, Брянск"
"Балаково, готов к переезду (Саратов), готов к командировкам",52.01843,47.819676,"Россия, Саратовская область, Балаково"
"Чернушка, готов к переезду, готов к командировкам",56.516015,56.07637,"Россия, Пермский край, Чернушка"
"Нижний Новгород, не готова к переезду, не готова к командировкам",56.326797,44.006516,"Россия, Нижний Новгород"
"Юрьев-Польский, готов к переезду (Москва, Подольск (Московская область)), готов к командировкам",56.49925,39.680823,"Россия, Владимирская область, Юрьев-Польский"
"Санкт-Петербург, м. Купчино, не готов к переезду, не готов к командировкам",59.829807,30.375453,"Россия, Санкт-Петербург, 2 линия – Московско-Петроградская, метро Купчино"
"Санкт-Петербург, м. Ломоносовская, готов к переезду (Адлер, Сочи), готов к командировкам",59.877335,30.441695,"Россия, Санкт-Петербург, 3 линия – Невско-Василеостровская, метро Ломоносовская"
"Брянск, готов к переезду, готов к редким командировкам",53.2434,34.363991,"Россия, Брянск"
"Орск, готов к переезду (Оренбург), готов к командировкам",51.2293,58.474675,"Россия, Оренбургская область, Орск"
"Раменское (Московская область), готов к переезду, готов к командировкам",55.567586,38.225004,"Россия, Московская область, Раменское"
"Липецк, готов к переезду, готов к редким командировкам",52.608826,39.599229,"Россия, Липецк"
"Сургут, не готов к переезду, готов к редким командировкам",61.241778,73.393032,"Россия, Ханты-Мансийский автономный округ — Югра, Сургут"
"Ишим, не готов к переезду, готов к командировкам",56.109175,69.457073,"Россия, Тюменская область, Ишим"
"Екатеринбург, готов к переезду, не готов к командировкам",56.838011,60.597474,"Россия, Свердловская область, Екатеринбург"
"Владимир, не готов к переезду, не готов к командировкам",56.129057,40.406635,"Россия, Владимир"
"Нижневартовск, готов к переезду, готов к командировкам",60.938545,76.558902,"Россия, Ханты-Мансийский автономный округ — Югра, Нижневартовск"
"Нефтеюганск, не готов к переезду, не готов к командировкам",61.088255,72.616403,"Россия, Ханты-Мансийский автономный округ — Югра, Нефтеюганск"
"Первомайский (Оренбургская область), готов к переезду, готов к командировкам",49.372921,36.216129,"Украина, Харьковская область, Лозовской район, Первомайская городская община, Первомайский"
"Москва, м. Бибирево, не готова к переезду, не готова к командировкам",55.883873,37.60302,"Россия, Москва, Серпуховско-Тимирязевская линия, метро Бибирево"
"Кашира (Московская область), не готов к переезду, не готов к командировкам",54.834589,38.15154,"Россия, Московская область, Кашира"
"Москва, м. Марьино, не готов к переезду, готов к командировкам",55.650028,37.743471,"Россия, Москва, Люблинско-Дмитровская линия, метро Марьино"
"Новосибирск, готов к переезду (Омск, Сочи), готов к командировкам",55.030204,82.92043,"Россия, Новосибирск"
"Люберцы (Московская область), не готов к переезду, готов к командировкам",55.676748,37.893328,"Россия, Московская область, Люберцы"
"Орехово-Зуево (Московская область), не готов к переезду, не готов к командировкам",55.805842,38.981601,"Россия, Московская область, Орехово-Зуево"
"Павловский Посад (Московская область), не готов к переезду, готов к редким командировкам",55.780719,38.650815,"Россия, Московская область, Павловский Посад"
"Каменка (Воронежская область), готов к переезду (Россия), готов к командировкам",53.184618,44.051648,"Россия, Пензенская область, Каменка"
"Можга, не готов к переезду, не готов к командировкам",56.440244,52.213022,"Россия, Удмуртская Республика, Можга"
"Череповец, не готов к переезду, не готов к командировкам",59.122672,37.903443,"Россия, Вологодская область, Череповец"
"Пятигорск, готов к переезду (Терскол, Эльбрус (Кабардино-Балкария)), готов к командировкам",44.039802,43.070643,"Россия, Ставропольский край, Пятигорск"
"Москва, м. Свиблово, не готов к переезду, готов к командировкам",55.855179,37.652625,"Россия, Москва, Калужско-Рижская линия, метро Свиблово"
